Comparison,Gene,logFC,p_value,-log10(p_value),Regulation
Leiomyosarcoma vs Liposarcoma,SARC_GENE_131,0.16489315,0.3965164,0.40173882,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_099,-0.16106176,0.3981747,0.39992633,Not Significant
Leiomyosarcoma vs Liposarcoma,SP7,-0.1632371,0.39982924,0.39812544,Not Significant
Leiomyosarcoma vs Liposarcoma,TP53,-0.16853428,0.4060079,0.39146554,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_036,-0.12483406,0.40685874,0.39055634,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_136,-0.15544891,0.40862936,0.38867044,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_051,-0.12307787,0.4249775,0.37163407,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_021,-0.15840101,0.430209,0.3663205,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_012,-0.14973164,0.43337843,0.36313272,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_121,-0.13745975,0.4356783,0.36083406,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_158,0.14979887,0.44699582,0.34969655,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_091,0.16285563,0.4520542,0.34480947,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_031,-0.15615702,0.45607466,0.34096408,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_117,-0.13742876,0.45608386,0.3409553,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_110,0.1568222,0.4588085,0.33836854,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_115,-0.12012482,0.4588797,0.33830115,Not Significant
Leiomyosarcoma vs Liposarcoma,MYOD1,-0.12739229,0.46187517,0.3354754,Not Significant
Leiomyosarcoma vs Liposarcoma,MMP13,0.11160612,0.46567547,0.33191663,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_086,0.13047409,0.4695778,0.32829246,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_101,0.14648962,0.47004664,0.32785904,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_066,-0.13345289,0.4830283,0.31602743,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_122,-0.1235199,0.49360293,0.30662227,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_042,-0.1522317,0.49777383,0.30296794,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_009,0.12410927,0.5073177,0.29471996,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_092,-0.12137318,0.50751513,0.294551,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_150,0.12764597,0.5104467,0.2920496,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_112,0.12620497,0.5129777,0.2899015,Not Significant
Leiomyosarcoma vs Liposarcoma,ALPL,-0.13188791,0.51802766,0.28564706,Not Significant
Leiomyosarcoma vs Liposarcoma,RB1,-0.1295433,0.51844496,0.28529736,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_067,-0.124025345,0.5205453,0.28354147,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_033,-0.124111176,0.5268902,0.27827987,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_138,-0.11586332,0.530917,0.2749734,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_165,0.11577511,0.5319231,0.27415115,Not Significant
Leiomyosarcoma vs Liposarcoma,MYOG,-0.15270233,0.5339167,0.2725265,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_143,-0.12919474,0.53776854,0.26940462,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_081,-0.10579157,0.54206955,0.265945,Not Significant
Leiomyosarcoma vs Liposarcoma,CCND1,0.11028719,0.5466536,0.26228777,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_072,0.10011387,0.5475785,0.26155362,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_018,-0.117033005,0.55275166,0.25746995,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_007,0.10595083,0.5623636,0.24998279,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_153,-0.09932852,0.5701336,0.24402335,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_050,-0.11045742,0.5735669,0.24141592,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_169,0.101705074,0.5751348,0.24023037,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_043,-0.123488426,0.57598186,0.23959121,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_109,-0.10470915,0.5803056,0.23634326,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_162,0.102712154,0.5832185,0.2341687,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_159,-0.09791231,0.5861145,0.23201752,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_061,0.107331276,0.59160125,0.22797091,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_076,-0.10505867,0.59197253,0.22769845,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_008,-0.11612892,0.5971879,0.22388901,Not Significant
Leiomyosarcoma vs Liposarcoma,PAX7,0.098418236,0.6015103,0.22075695,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_161,0.09787893,0.61110914,0.21388122,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_139,-0.11024523,0.6144074,0.21154356,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_049,-0.08869028,0.6174667,0.20938648,Not Significant
Leiomyosarcoma vs Liposarcoma,RUNX2,-0.10775995,0.6206595,0.20714661,Not Significant
Leiomyosarcoma vs Liposarcoma,MKI67,-0.08552647,0.6369411,0.19590074,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_054,-0.08271551,0.64126027,0.19296567,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_133,0.07666206,0.648927,0.18780418,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_011,0.08481264,0.65704215,0.18240677,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_014,-0.09219837,0.65738505,0.18218018,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_179,-0.07382345,0.67085,0.1733746,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_088,0.07713556,0.67259425,0.17224686,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_172,0.076441765,0.6732438,0.17182763,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_168,0.0816865,0.6750631,0.17065565,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_127,0.06270695,0.6975935,0.15639758,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_063,0.0741601,0.6990632,0.15548357,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_002,0.06580591,0.70768946,0.15015727,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_041,-0.07295227,0.70884037,0.14945155,Not Significant
Leiomyosarcoma vs Liposarcoma,MYH3,-0.068080425,0.71346885,0.14662498,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_093,-0.06539726,0.7170072,0.14447647,Not Significant
Leiomyosarcoma vs Liposarcoma,MMP2,0.07240391,0.7182398,0.14373055,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_028,-0.067353725,0.72081834,0.14217418,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_085,0.06864834,0.72137713,0.14183764,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_047,0.075665474,0.7230723,0.14081828,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_089,-0.07552338,0.72591525,0.13911408,Not Significant
Leiomyosarcoma vs Liposarcoma,MMP9,0.06457758,0.73167235,0.13568336,Not Significant
Leiomyosarcoma vs Liposarcoma,CDKN2A,0.06677532,0.73391044,0.13435695,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_164,0.063697815,0.74244106,0.12933803,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_027,-0.06350088,0.7437891,0.1285502,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_145,-0.05741167,0.75198907,0.123788476,Not Significant
Leiomyosarcoma vs Liposarcoma,COL1A1,-0.05616522,0.7561642,0.12138389,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_019,0.055411816,0.7628471,0.11756249,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_100,0.058630466,0.76488924,0.11640145,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_006,-0.054614544,0.7706577,0.113138475,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_062,-0.049132824,0.78553164,0.104836315,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_102,-0.05334139,0.78655654,0.104270056,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_114,0.048643112,0.7912674,0.10167673,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_065,-0.045184612,0.8083562,0.09239721,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_128,-0.03850746,0.81825846,0.0871095,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_026,0.04389906,0.8209046,0.08570731,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_064,0.04294777,0.83615386,0.0777138,Not Significant
Leiomyosarcoma vs Liposarcoma,BCL2,0.039500237,0.84059256,0.075414464,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_071,-0.044055462,0.84146714,0.07496284,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_025,-0.0307765,0.8604889,0.06525473,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_123,-0.025392056,0.8729264,0.059022363,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_107,0.024793625,0.8777766,0.056615993,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_068,-0.024855614,0.88789415,0.051638808,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_020,-0.02948761,0.88981503,0.050700262,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_119,0.02422905,0.8997764,0.045865405,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_124,0.023234844,0.9150794,0.038541216,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_016,0.017551899,0.9192596,0.036561824,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_137,-0.018624783,0.9204441,0.0360026,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_004,0.01774025,0.92671525,0.03305369,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_077,-0.018987656,0.9271624,0.032844186,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_157,0.01802969,0.92767215,0.032605484,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_032,0.01611185,0.9278765,0.032509837,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_053,-0.01488781,0.93282485,0.030199895,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_103,-0.014739037,0.93473864,0.029309805,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_022,0.015379429,0.9389537,0.027355824,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_174,0.013245583,0.9405282,0.026628174,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_046,0.015360355,0.9439063,0.025071112,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_152,0.013264656,0.95054483,0.022027396,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_155,0.010914326,0.9546919,0.020136768,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_173,0.007323265,0.96708137,0.014536984,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_080,0.0067653656,0.9685403,0.013882299,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_082,0.0061221123,0.97365296,0.011595813,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_140,0.005199909,0.9771394,0.010043468,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_037,0.005926609,0.98013467,0.00871425,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,MYOD1,-2.9570074,3.541272e-24,23.45084,Higher in Rhabdomyosarcoma
Leiomyosarcoma vs Rhabdomyosarcoma,PAX7,-2.8706017,4.915785e-24,23.308407,Higher in Rhabdomyosarcoma
Leiomyosarcoma vs Rhabdomyosarcoma,CNN1,2.9062376,5.984558e-24,23.222967,Higher in Leiomyosarcoma
Leiomyosarcoma vs Rhabdomyosarcoma,ACTA2,3.2491837,8.361113e-24,23.077736,Higher in Leiomyosarcoma
Leiomyosarcoma vs Rhabdomyosarcoma,TAGLN,3.0377965,9.556718e-23,22.019691,Higher in Leiomyosarcoma
Leiomyosarcoma vs Rhabdomyosarcoma,MYH11,2.9008536,1.070427e-22,21.970444,Higher in Leiomyosarcoma
Leiomyosarcoma vs Rhabdomyosarcoma,PAX3,-2.658317,2.3130863e-22,21.635809,Higher in Rhabdomyosarcoma
Leiomyosarcoma vs Rhabdomyosarcoma,MYLK,2.4087806,4.1436233e-20,19.38262,Higher in Leiomyosarcoma
Leiomyosarcoma vs Rhabdomyosarcoma,CALD1,2.1438742,1.0003649e-18,17.999842,Higher in Leiomyosarcoma
Leiomyosarcoma vs Rhabdomyosarcoma,TNNT3,-2.3230605,2.3477257e-18,17.629353,Higher in Rhabdomyosarcoma
Leiomyosarcoma vs Rhabdomyosarcoma,MYOG,-3.1399755,2.5363028e-18,17.595798,Higher in Rhabdomyosarcoma
Leiomyosarcoma vs Rhabdomyosarcoma,MYH3,-2.414125,5.0971337e-18,17.292673,Higher in Rhabdomyosarcoma
Leiomyosarcoma vs Rhabdomyosarcoma,MYF5,-2.1484704,2.1745231e-16,15.662636,Higher in Rhabdomyosarcoma
Leiomyosarcoma vs Rhabdomyosarcoma,TPM2,2.0737758,1.345153e-15,14.871228,Higher in Leiomyosarcoma
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_013,0.57919407,0.0015785553,2.8017402,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_054,-0.46456146,0.006274233,2.2024393,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_180,-0.49299526,0.015030487,1.8230269,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_154,-0.49467993,0.015933746,1.7976822,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_069,-0.36248827,0.0315978,1.5003431,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_024,-0.42117405,0.038471363,1.4148624,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_106,-0.404109,0.045284014,1.344055,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_023,-0.3397398,0.049206603,1.3079766,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_130,-0.28809404,0.057070054,1.2435917,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_001,0.32841587,0.07360765,1.133077,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_045,0.29686403,0.07448077,1.1279558,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_093,-0.3524871,0.077379994,1.1113713,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_057,0.35803032,0.08148669,1.0889133,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_128,-0.3484211,0.087883584,1.0560923,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_104,0.30272675,0.08833809,1.053852,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_055,0.29880476,0.106666215,0.9719731,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_073,0.30098057,0.11210859,0.95036113,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_019,0.292521,0.1121938,0.95003116,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_005,0.32726526,0.11238149,0.94930524,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_092,-0.32833576,0.11505459,0.93909603,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_044,-0.3480401,0.11879849,0.9251891,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_070,-0.29947424,0.11928152,0.9234268,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_096,0.28892612,0.12719554,0.89552814,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_012,-0.2927904,0.12999283,0.8860806,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_086,0.26113558,0.13638628,0.86522937,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_002,0.2941985,0.1375516,0.86153436,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_056,0.2995143,0.14061981,0.8519535,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_149,-0.2962265,0.14413074,0.8412434,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_021,-0.2904625,0.14684993,0.83312625,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,CEBPA,0.2624879,0.15179045,0.8187555,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_147,0.2701316,0.15405281,0.81233037,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_051,-0.24844646,0.17077447,0.76757705,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_078,0.28366518,0.1733212,0.76114833,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_025,-0.2724743,0.17706728,0.7518617,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_033,0.2716341,0.17850785,0.7483427,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_036,-0.23609734,0.17913827,0.7468116,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_072,0.21272612,0.1802429,0.7441418,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_026,-0.2601862,0.18589835,0.73072445,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_048,-0.24413872,0.18958619,0.7221933,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,PPARG,0.25781107,0.18997543,0.72130257,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_176,-0.24384403,0.20384152,0.6907073,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_039,0.2338686,0.20833391,0.68124,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_067,-0.24129677,0.20932868,0.67917126,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_152,-0.22974443,0.21029548,0.67717004,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_062,0.1940155,0.21228734,0.6730759,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_053,-0.24509192,0.21230358,0.67304265,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_134,0.2222805,0.21236534,0.67291635,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_122,-0.2617154,0.2174451,0.66265035,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_131,0.20834875,0.22463907,0.6485147,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_125,0.23480892,0.23838925,0.6227133,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_171,-0.2478075,0.23995511,0.61987,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_098,-0.22271204,0.24694905,0.60739267,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_164,-0.23912907,0.24829152,0.6050381,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_059,-0.19951677,0.25511804,0.59325886,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_020,-0.2344842,0.26118284,0.5830554,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_085,0.2109704,0.26733363,0.5729464,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_016,-0.20760012,0.27068225,0.5675403,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_052,0.24804497,0.27069813,0.5675148,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,MDM2,0.20459461,0.27492473,0.56078625,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_076,-0.20138788,0.28124723,0.5509118,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,CCND1,0.20231628,0.29174122,0.53500223,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_083,0.20365906,0.2941451,0.53143835,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_111,-0.17147923,0.29459608,0.53077304,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_146,0.19705057,0.30767515,0.5119076,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,CDKN2A,0.19790411,0.32422706,0.48915073,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_135,0.1465025,0.32726836,0.48509598,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_168,0.1918354,0.32830548,0.48372185,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,BCL2,-0.2247386,0.32875296,0.48313034,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,MMP9,0.15923452,0.3468549,0.45985216,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,MMP13,-0.15356922,0.34925073,0.4568627,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_172,0.15569687,0.35041445,0.455418,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_097,-0.19911528,0.3507846,0.45495948,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,HMGA2,0.18157911,0.35507506,0.44967985,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_030,0.16413164,0.35623655,0.44826153,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_115,-0.15492773,0.3562783,0.44821063,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_015,0.17474222,0.35733116,0.4469291,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_116,0.18746376,0.36047998,0.44311887,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_120,0.17034054,0.36516848,0.4375067,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_075,0.14349651,0.3881115,0.4110435,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_099,-0.17291641,0.3906071,0.40825987,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,LPL,-0.1667924,0.3907487,0.40810245,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_179,-0.15527487,0.39673588,0.40149853,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_018,0.16025543,0.40730432,0.390081,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_060,-0.16963243,0.4149265,0.38202882,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_165,0.17134905,0.4155973,0.3813273,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_177,0.1539135,0.42318875,0.3734659,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_038,0.12578869,0.44904068,0.3477143,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_148,0.14634514,0.45121887,0.34561273,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_031,0.14657927,0.4575958,0.33951798,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_160,-0.12500668,0.46397963,0.3335011,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,FABP4,-0.12450504,0.46862975,0.32917014,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_009,0.14245844,0.47226468,0.32581455,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_042,-0.14804268,0.472999,0.32513976,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_027,0.14917755,0.4740797,0.32414865,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_170,-0.14343214,0.47843274,0.3201791,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SP7,-0.14950085,0.48156738,0.31734294,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_142,0.13064432,0.48477387,0.31446078,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_153,0.12898731,0.48989287,0.30989888,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_121,-0.12587881,0.49919116,0.3017331,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_095,-0.1225214,0.5025397,0.29882964,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_066,-0.12134504,0.5047642,0.29691148,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_132,0.132123,0.5069624,0.29502425,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_010,-0.14277363,0.5083855,0.29380685,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_041,-0.120119095,0.51626563,0.2871268,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_161,0.14767075,0.51932365,0.28456193,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_150,0.10962343,0.5200221,0.28397822,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_094,0.13916445,0.5216364,0.28263208,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_090,0.13277817,0.5237635,0.2808648,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_108,-0.11990023,0.5291047,0.27645838,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,TP53,-0.13141537,0.52939594,0.2762194,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_100,0.13021803,0.534545,0.27201575,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_088,-0.12491894,0.5348467,0.2717707,Not Significant
Leiomyosarcoma vs Rhabdomyosarcoma,SARC_GENE_144,0.11300182,0.55196065,0.2580919,Not Significant
